date,is_rd,amount,vendor,quarter,bas_label,is_locked,gst_amount,description,personal_pct,classification_status
2025-07-12,False,78.69,Uber Eats,Q1 FY25-26,G3,False,0,UBER EATS HELP.UBER.COM,0,auto_bas_fy2526
2025-07-12,False,164.39,Uber Eats,Q1 FY25-26,G3,False,0,UBER EATS HELP.UBER.COM,0,auto_bas_fy2526
2025-07-12,True,14.99,Apple,Q1 FY25-26,G3,False,0,APPLE.COM/BILL SYDNEY,0,auto_bas_fy2526
2025-07-12,False,164.39,,Q1 FY25-26,G11,False,14.94,UBER EATS             HELP.UBER.COM,0,classified
2025-07-12,False,14.99,,Q1 FY25-26,G14,False,0,APPLE.COM/BILL,0,classified
2025-07-13,False,37.98,,Q1 FY25-26,G14,False,0,APPLE.COM/BILL,0,classified
2025-07-13,False,133,,Q1 FY25-26,G11,False,12.09,OPTUS MERCHANT Optus Me MACQUARIE PARK,0,classified
2025-07-13,False,133,Optus,Q1 FY25-26,G14,True,0,OPTUS MERCHANT Optus Me MACQUARIE PARK,0.2,manual_reclass_20260322
2025-07-13,True,37.98,Apple,Q1 FY25-26,G3,False,0,APPLE.COM/BILL SYDNEY,0,auto_bas_fy2526
2025-07-14,True,10.99,Apple,Q1 FY25-26,G3,False,0,APPLE.COM/BILL SYDNEY,0,auto_bas_fy2526
2025-07-14,False,10.99,,Q1 FY25-26,G14,False,0,APPLE.COM/BILL,0,classified
2025-07-14,False,10.99,,Q1 FY25-26,G14,False,0,PRIME VIDEO CHANNELS SYDNEY,0,classified
2025-07-15,False,101.54,,Q1 FY25-26,G11,False,9.23,E-TOLL PAYMENT,0,classified
2025-07-15,False,101.54,E-Toll,Q1 FY25-26,G3,False,0,E-TOLL PAYMENT PARRAMATTA,0,auto_bas_fy2526
2025-07-17,False,51.07,,Q1 FY25-26,G3,False,0,BUBBLE STARTER PLAN         NEW YORK                        ,0,classified
2025-07-17,True,51.07,Bubble,Q1 FY25-26,G3,False,0,BUBBLE STARTER PLAN NEW YORK 32.00,0,auto_bas_fy2526
2025-07-22,False,11.99,,Q1 FY25-26,G3,False,0,INTEREST CHARGE,0,classified
2025-07-22,False,11.99,Amex,Q1 FY25-26,G14,False,0,INTEREST CHARGE,0,auto_bas_fy2526
2025-07-23,False,73.69,,Q1 FY25-26,G3,False,0,SMYLE 580400000050229 THOUSAND OAKS                         ,0,classified
2025-07-23,False,18.99,Netflix,Q1 FY25-26,G14,False,0,NETFLIX.COM MELBOURNE,0,auto_bas_fy2526
2025-07-23,False,18.99,,Q1 FY25-26,G14,False,0,NETFLIX.COM,0,classified
2025-07-23,False,73.69,Smyle,Q1 FY25-26,G14,False,0,SMYLE 580400000050229 THOUSAND OAKS 46.98,0,classified
2025-07-24,False,101.54,E-Toll,Q1 FY25-26,G3,False,0,E-TOLL PAYMENT PARRAMATTA,0,auto_bas_fy2526
2025-07-24,True,25,Lovable,Q1 FY25-26,G3,False,0,Lovable Labs subscription,0,auto_bas_fy2526
2025-07-24,False,101.54,,Q1 FY25-26,G11,False,9.23,E-TOLL PAYMENT,0,classified
2025-07-25,False,45.38,Amazon AU,Q1 FY25-26,G3,False,0,AMAZON MARKETPLACE AU SYDNEY SOUTH,0,auto_bas_fy2526
2025-07-25,False,45.38,,Q1 FY25-26,G3,False,0,AMAZON MARKETPLACE AU SYDNEY SOUTH,0,manual_reclass_20260322
2025-07-25,False,10.99,,Q1 FY25-26,G3,False,0,AMAZON MARKETPLACE AU SYDNEY SOUTH,0,classified
2025-07-25,False,10.99,Amazon AU,Q1 FY25-26,G3,False,0,AMAZON MARKETPLACE AU SYDNEY SOUTH,0,auto_bas_fy2526
2025-07-27,True,25,Lovable,Q1 FY25-26,G3,False,0,Lovable Labs subscription,0,auto_bas_fy2526
2025-07-28,False,41.24,LinkedIn,Q1 FY25-26,G3,False,0,LINKEDINPREA *27495834 SYDNEY NSW,0,auto_bas_fy2526
2025-07-28,False,193.27,Airbnb,Q1 FY25-26,G14,True,0,AIRBNB * HMYJ4JYW3P LONDON,0,manual_reclass_20260322
2025-07-28,False,193.27,,Q1 FY25-26,G3,True,0,AIRBNB * HMYJ4JYW3P,0,manual_reclass_20260322
2025-07-28,False,41.24,,Q1 FY25-26,G14,False,0,LINKEDINPREA *27495834 SYDNEY NSW,0,classified
2025-07-29,False,129.99,,Q1 FY25-26,G11,False,11.82,UBER EATS              HELP.UBER.COM,0,classified
2025-07-29,False,129.99,Uber Eats,Q1 FY25-26,G3,False,0,UBER EATS HELP.UBER.COM,0,auto_bas_fy2526
2025-07-31,True,21.98,Apple,Q1 FY25-26,G3,False,0,APPLE.COM/BILL SYDNEY,0,auto_bas_fy2526
2025-07-31,False,21.98,,Q1 FY25-26,G14,False,0,APPLE.COM/BILL,0,classified
2025-08-01,False,0.17,,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD BHDJQR,0,classified
2025-08-01,True,0.17,Google,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD BHDJQR PYRMONT,0,auto_bas_fy2526
2025-08-01,False,-30,,Q1 FY25-26,G3,False,0,EFTPOS PAYPAL *YOURTOWN SYDNEY AU,0,classified
2025-08-01,True,0.14,Google,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD HTGGXP GOO CC GOOGLE.COM,0,auto_bas_fy2526
2025-08-01,False,101.54,,Q1 FY25-26,G11,False,9.23,E-TOLL PAYMENT,0,classified
2025-08-01,False,0.14,,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD HTGGXP GOO CC GOOGLE.COM,0,classified
2025-08-01,False,23.99,,Q1 FY25-26,G14,False,0,SPOTIFY,0,classified
2025-08-01,False,-32.06,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 OPENAI *CHATGPT SUBSCR OPENAI.,0,rdti
2025-08-01,False,0.28,,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD JNXVCW,0,classified
2025-08-01,False,12.49,,Q1 FY25-26,G11,False,1.14,GOOGLE*GSUITE TECH4HUMA CC GOOGLE.COM,0,classified
2025-08-01,False,23.99,Spotify,Q1 FY25-26,G14,False,0,SPOTIFY SYDNEY,0,auto_bas_fy2526
2025-08-01,True,0.28,Google,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD JNXVCW PYRMONT,0,auto_bas_fy2526
2025-08-01,True,12.49,Google,Q1 FY25-26,G3,False,0,GOOGLE*GSUITE TECH4HUMA CC GOOGLE.COM,0,auto_bas_fy2526
2025-08-01,False,101.54,E-Toll,Q1 FY25-26,G3,False,0,E-TOLL PAYMENT PARRAMATTA,0,auto_bas_fy2526
2025-08-02,False,21.49,,Q1 FY25-26,G11,False,1.95,AMAZON WEB SERVICES,0,rdti
2025-08-02,False,83.99,Amazon AU,Q1 FY25-26,G3,False,0,AMAZON MARKETPLACE AU SYDNEY SOUTH,0,auto_bas_fy2526
2025-08-02,False,83.99,,Q1 FY25-26,G3,False,0,AMAZON MARKETPLACE AU SYDNEY SOUTH,0,manual_reclass_20260322
2025-08-02,True,21.49,AWS,Q1 FY25-26,G3,False,0,AMAZON WEB SERVICES SYDNEY,0,auto_bas_fy2526
2025-08-03,True,25,Lovable,Q1 FY25-26,G3,False,0,Lovable Labs subscription,0,auto_bas_fy2526
2025-08-04,False,40,,Q1 FY25-26,G3,False,0,NAKED WINES MANLY       Manly,0,classified
2025-08-04,False,-8.83,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 ELEVENLABS.IO ELEVENLABS.IO 5.,0,rdti
2025-08-04,False,-49,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 KMART 1371 MIRANDA,0,classified
2025-08-04,False,40,Naked Wines,Q1 FY25-26,G14,False,0,NAKED WINES MANLY Manly,0,auto_bas_fy2526
2025-08-04,False,-45.65,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 THE LOCKER ROOM SYDNEY OLYMPI,0,classified
2025-08-04,False,-52.99,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 DAN MURPHY'S/28-38 FLORA KIRRA,0,classified
2025-08-04,False,-29.45,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 WOOLWORTHS/LOT 28-38 FLOR KIRR,0,classified
2025-08-04,False,-10,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 SALVATION ARMY NSW BLACKBURN,0,classified
2025-08-05,False,101.54,,Q1 FY25-26,G11,False,9.23,E-TOLL PAYMENT,0,classified
2025-08-05,False,101.54,E-Toll,Q1 FY25-26,G3,False,0,E-TOLL PAYMENT PARRAMATTA,0,auto_bas_fy2526
2025-08-05,False,24.3,,Q1 FY25-26,G3,False,0,AMAZON AU,0,manual_reclass_20260322
2025-08-05,False,-40.13,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 LOVABLE LOVABLE.DEV 25.00 USD ,0,rdti
2025-08-05,False,2500,,Q1 FY25-26,G3,False,0,ANZ M-BANKING FUNDS TFER TRANSFER 321357 FROM 264796495,0,classified
2025-08-05,False,24.3,Amazon AU,Q1 FY25-26,G3,False,0,AMAZON AU SYDNEY SOUTH,0,auto_bas_fy2526
2025-08-06,False,-26.26,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 MIX PIZZA BAR KIRRAWEE,0,classified
2025-08-06,False,-49.3,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 ACCOR STADIUM SYDNEY OLYMPI,0,classified
2025-08-06,False,-56.9,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 ACCOR STADIUM SYDNEY OLYMPI,0,classified
2025-08-06,False,116.15,,Q1 FY25-26,G3,False,0,PET INSURANCE CHATSWOOD CHATSWOOD,0,classified
2025-08-06,False,20.99,Disney+,Q1 FY25-26,G14,False,0,DISNEY+ DISNEY+ AUSTRALIA,0,auto_bas_fy2526
2025-08-06,False,-77.14,,Q1 FY25-26,G11,True,7.01,VISA DEBIT PURCHASE CARD 2794 BUNNINGS 724000 KIRRAWEE,0.5,manual_reclass_20260322
2025-08-06,False,116.15,Pet Insurance,Q1 FY25-26,G3,False,0,PET INSURANCE CHATSWOOD CHATSWOOD,0,auto_bas_fy2526
2025-08-06,False,20.99,,Q1 FY25-26,G14,False,0,DISNEY+ DISNEY+,0,classified
2025-08-07,False,-20.35,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 MCDONALDS TAREN POIN TAREN POI,0,classified
2025-08-07,True,25,xAI LLC,Q1 FY25-26,G3,False,0,xAI LLC (Grok) subscription,0,auto_bas_fy2526
2025-08-08,False,-36.48,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 TEMU.COM PARRAMATTA,0,classified
2025-08-08,False,1500,American Express,Q1 FY25-26,G14,False,0,BPAY PAYMENT-THANK YOU REC # 6307102253,0,classified
2025-08-08,False,-79,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 WWW.JOBLEADS.COM MEMBERSH HAMB,0,classified
2025-08-08,False,-31.9,,Q1 FY25-26,G11,False,2.9,VISA DEBIT PURCHASE CARD 2794 RESEND RESEND.COM 20.00 USD IN,0,rdti
2025-08-11,False,-1500,,Q1 FY25-26,G11,False,136.36,ANZ INTERNET BANKING BPAY AMERICAN EXPRESS {893722},0,classified
2025-08-11,False,-47.63,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 XAI LLC X.AI/ABOUT 30.00 USD I,0,rdti
2025-08-11,False,-12.2,,Q1 FY25-26,G11,True,1.11,VISA DEBIT PURCHASE CARD 2794 BUNNINGS 724000 KIRRAWEE,0.5,manual_reclass_20260322
2025-08-11,False,-50,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 FRESHBOOKS 866-303-6061,0,rdti
2025-08-11,True,25,Lovable,Q1 FY25-26,G3,False,0,Lovable Labs subscription,0,auto_bas_fy2526
2025-08-11,False,1500,American Express,Q1 FY25-26,G14,False,0,BPAY PAYMENT-THANK YOU REC # 8937221172,0,classified
2025-08-11,False,-60.96,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 COLES 5588 KIRRAWEE,0,classified
2025-08-11,False,-418,,Q1 FY25-26,G13,True,0,VISA DEBIT PURCHASE CARD 2794 BUNNINGS 724000 KIRRAWEE,0,manual_reclass_20260322
2025-08-11,False,-1000,,Q1 FY25-26,G11,False,90.91,ANZ INTERNET BANKING BPAY ENGIE {887574},0,classified
2025-08-12,False,14.99,,Q1 FY25-26,G14,False,0,APPLE.COM/BILL,0,classified
2025-08-12,False,-330,,Q1 FY25-26,G11,True,30,VISA DEBIT PURCHASE CARD 2794 SQSP* WEBSIT#193721008 SQUARES,0,manual_reclass_20260322
2025-08-12,False,17.77,,Q1 FY25-26,G3,False,0,AMAZON AU,0,classified
2025-08-12,False,101.54,E-Toll,Q1 FY25-26,G3,False,0,E-TOLL PAYMENT PARRAMATTA,0,auto_bas_fy2526
2025-08-12,False,-188.48,,Q1 FY25-26,G11,False,17.13,"VISA DEBIT PURCHASE CARD 2794 OCTOPUS DATA, INC 6266366836 1",0,rdti
2025-08-12,False,101.54,,Q1 FY25-26,G11,False,9.23,E-TOLL PAYMENT,0,classified
2025-08-12,True,14.99,Apple,Q1 FY25-26,G3,False,0,APPLE.COM/BILL SYDNEY,0,auto_bas_fy2526
2025-08-12,False,17.77,Amazon AU,Q1 FY25-26,G3,False,0,AMAZON AU SYDNEY SOUTH,0,auto_bas_fy2526
2025-08-13,False,500,,Q1 FY25-26,G3,False,0,ANZ M-BANKING FUNDS TFER TRANSFER 958907 FROM 264796495,0,classified
2025-08-13,False,-294.79,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 LOVABLE LOVABLE.DEV 186.00 USD,0,rdti
2025-08-13,False,48.97,,Q1 FY25-26,G14,False,0,APPLE.COM/BILL,0,classified
2025-08-13,False,203.52,Optus,Q1 FY25-26,G14,True,0,OPTUS MERCHANT Optus Me MACQUARIE PARK,0.2,manual_reclass_20260322
2025-08-13,False,-16.09,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 COLES 5588 KIRRAWEE,0,classified
2025-08-13,False,-91.22,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 SP OMNIMAX LABS OMNIMAXLABS.C ,0,classified
2025-08-13,False,5000,,Q1 FY25-26,G3,False,0,TRANSFER FROM A J LATTER LOAN 2,0,classified
2025-08-13,False,203.52,,Q1 FY25-26,G11,False,18.5,OPTUS MERCHANT Optus Me MACQUARIE PARK,0,classified
2025-08-13,True,48.97,Apple,Q1 FY25-26,G3,False,0,APPLE.COM/BILL SYDNEY,0,auto_bas_fy2526
2025-08-14,False,-154.55,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 ALDI STORES KIRRAWEE DC,0,classified
2025-08-14,False,-23,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 SMGB GOULBURN GOULBURN,0,classified
2025-08-14,False,-22.06,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 BLUE MARLIN SUTHERLAN SUTHERLA,0,classified
2025-08-14,False,-69.95,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 DEAL.AI INC. DEAL.AI 44.00 USD,0,rdti
2025-08-14,False,5000,,Q1 FY25-26,G3,False,0,TRANSFER FROM A J LATTER LOAN 3,0,classified
2025-08-14,False,-14,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 FREWENI TAKELE CANBERRA,0,classified
2025-08-14,False,-97.56,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 7-ELEVEN 2238 SUTHERLAND,0,classified
2025-08-15,False,-93.15,,Q1 FY25-26,G3,False,0,ANZ INTERNET BANKING FUNDS TFER TRANSFER 123887 TO 012955264,0,classified
2025-08-15,True,25,Lovable,Q1 FY25-26,G3,False,0,Lovable Labs subscription,0,auto_bas_fy2526
2025-08-17,False,50.69,,Q1 FY25-26,G3,False,0,BUBBLE STARTER PLAN            NEW YORK                     ,0,classified
2025-08-17,True,50.69,Bubble,Q1 FY25-26,G3,False,0,BUBBLE STARTER PLAN NEW YORK 32.00,0,auto_bas_fy2526
2025-08-18,False,-31.95,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 S FARAG & M KAOUTARA KIRRAWEE,0,classified
2025-08-18,False,-93.35,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 MIRANDA PHARMACY MIRANDA,0,classified
2025-08-18,False,-357.47,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 LOVABLE LOVABLE.DEV 225.00 USD,0,rdti
2025-08-18,False,-1,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 SHIRE COMPOUNDING CH MIRANDA,0,classified
2025-08-19,False,101.54,E-Toll,Q1 FY25-26,G3,False,0,E-TOLL PAYMENT PARRAMATTA,0,auto_bas_fy2526
2025-08-19,False,101.54,,Q1 FY25-26,G11,False,9.23,E-TOLL PAYMENT,0,classified
2025-08-20,False,-50.26,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 ALDI STORES KIRRAWEE DC,0,classified
2025-08-21,True,-211.84,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 CANDOR MEDICAL QLD,0,manual_reclass_20260323
2025-08-22,False,30,Amex,Q1 FY25-26,G14,False,0,CHARGE FOR OVERDUE PAYMENT,0,auto_bas_fy2526
2025-08-22,False,30,,Q1 FY25-26,G3,False,0,CHARGE FOR OVERDUE PAYMENT,0,classified
2025-08-22,False,4.73,,Q1 FY25-26,G3,False,0,INTEREST CHARGE,0,classified
2025-08-22,False,4.73,Amex,Q1 FY25-26,G14,False,0,INTEREST CHARGE,0,auto_bas_fy2526
2025-08-23,False,18.99,Netflix,Q1 FY25-26,G14,False,0,NETFLIX AUSTRALIA PTY L MELBOURNE,0,auto_bas_fy2526
2025-08-23,False,18.99,,Q1 FY25-26,G14,False,0,NETFLIX AUSTRALIA PTY L MELBOURNE,0,classified
2025-08-24,False,101.54,,Q1 FY25-26,G11,False,9.23,E-TOLL PAYMENT,0,classified
2025-08-24,False,101.54,E-Toll,Q1 FY25-26,G3,False,0,E-TOLL PAYMENT PARRAMATTA,0,auto_bas_fy2526
2025-08-25,False,-106.77,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 7-ELEVEN 2238 SUTHERLAND,0,classified
2025-08-25,False,-71.95,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 RODNEYS PHARMACY PTY L GYMEA,0,classified
2025-08-25,True,21.98,Apple,Q1 FY25-26,G3,False,0,APPLE.COM/BILL SYDNEY,0,auto_bas_fy2526
2025-08-25,False,21.98,,Q1 FY25-26,G14,False,0,APPLE.COM/BILL,0,classified
2025-08-26,True,25,Lovable,Q1 FY25-26,G3,False,0,Lovable Labs subscription,0,auto_bas_fy2526
2025-08-27,False,-38.47,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 FLEXJOBS.COM 866-991-9222 23.9,0,rdti
2025-08-27,True,25,Lovable,Q1 FY25-26,G3,False,0,Lovable Labs subscription,0,auto_bas_fy2526
2025-08-27,False,-84.04,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 ALDI STORES CANTERBURY,0,classified
2025-08-27,False,-44.37,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 PHO MOM PTY LTD CANTERBURY,0,classified
2025-08-28,False,41.24,,Q1 FY25-26,G14,False,0,LINKEDINPREA *80302554 SYDNEY NSW,0,classified
2025-08-28,False,-342.38,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 LOVABLE LOVABLE.DEV 215.00 USD,0,rdti
2025-08-28,False,-1465.05,,Q1 FY25-26,G14,False,0,VISA DEBIT PURCHASE CARD 2794 LOVABLE LOVABLE.DEV 920.00 USD,0,rdti
2025-08-28,False,41.24,LinkedIn,Q1 FY25-26,G3,False,0,LINKEDINPREA *80302554 SYDNEY NSW,0,auto_bas_fy2526
2025-08-29,False,-42.45,,Q1 FY25-26,G3,False,0,VISA DEBIT PURCHASE CARD 2794 ALDI STORES KIRRAWEE DC,0,classified
2025-08-29,False,79,,Q1 FY25-26,G14,False,0,AMZNPRIMEAU MEMBERSHIP SYDNEY SOUTH,0,classified
2025-08-29,False,-0.09,,Q1 FY25-26,G14,False,0,CREDIT INTEREST PAID 01 SEP VISA DEBIT PURCHASE CARD 2794 OP,0,rdti
2025-08-29,False,79,Amazon Prime,Q1 FY25-26,G3,False,0,AMZNPRIMEAU MEMBERSHIP SYDNEY SOUTH,0,auto_bas_fy2526
2025-08-30,False,101.54,,Q1 FY25-26,G11,False,9.23,E-TOLL PAYMENT,0,classified
2025-08-30,False,101.54,E-Toll,Q1 FY25-26,G3,False,0,E-TOLL PAYMENT PARRAMATTA,0,auto_bas_fy2526
2025-09-01,False,0.17,,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD Z7MM6Z GOO CC GOOGLE.COM,0,classified
2025-09-01,False,12.98,,Q1 FY25-26,G11,False,1.18,GOOGLE*GSUITE TECH4HUMA CC GOOGLE.COM,0,classified
2025-09-01,True,12.98,Google,Q1 FY25-26,G3,False,0,GOOGLE*GSUITE TECH4HUMA CC GOOGLE.COM,0,auto_bas_fy2526
2025-09-01,False,23.99,Spotify,Q1 FY25-26,G14,False,0,SPOTIFY SYDNEY,0,auto_bas_fy2526
2025-09-01,True,0.17,Google,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD Z7MM6Z GOO CC GOOGLE.COM,0,auto_bas_fy2526
2025-09-01,False,23.99,,Q1 FY25-26,G14,False,0,SPOTIFY,0,classified
2025-09-01,False,0.24,,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD XGMRXM GOO CC GOOGLE.COM,0,classified
2025-09-01,False,0.14,,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD DX8ZMH GOO CC GOOGLE.COM,0,classified
2025-09-01,True,0.24,Google,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD XGMRXM GOO CC GOOGLE.COM,0,auto_bas_fy2526
2025-09-01,True,0.14,Google,Q1 FY25-26,G3,False,0,GOOGLE*CLOUD DX8ZMH GOO CC GOOGLE.COM,0,auto_bas_fy2526
2025-09-02,True,150.81,AWS,Q1 FY25-26,G3,False,0,AMAZON WEB SERVICES SYDNEY,0,auto_bas_fy2526
2025-09-02,False,150.81,,Q1 FY25-26,G11,False,13.71,AMAZON WEB SERVICES,0,rdti
2025-09-03,True,25,Lovable,Q1 FY25-26,G3,False,0,Lovable Labs subscription,0,auto_bas_fy2526
2025-09-04,False,20,,Q1 FY25-26,G3,False,0,NAKED WINES MANLY              Manly,0,classified
2025-09-04,False,20,Naked Wines,Q1 FY25-26,G14,False,0,NAKED WINES MANLY Manly,0,auto_bas_fy2526
2025-09-05,False,36.33,,Q1 FY25-26,G3,False,0,AMAZON MARKETPLACE AU SYDNEY SOUTH,0,classified
2025-09-05,False,101.54,,Q1 FY25-26,G11,False,9.23,E-TOLL PAYMENT,0,classified
2025-09-05,False,17.77,Amazon AU,Q1 FY25-26,G3,False,0,AMAZON AU SYDNEY SOUTH,0,auto_bas_fy2526
2025-09-05,False,36.33,Amazon AU,Q1 FY25-26,G3,False,0,AMAZON MARKETPLACE AU SYDNEY SOUTH,0,auto_bas_fy2526
2025-09-05,False,17.77,,Q1 FY25-26,G3,False,0,AMAZON AU,0,classified
2025-09-05,False,101.54,E-Toll,Q1 FY25-26,G3,False,0,E-TOLL PAYMENT PARRAMATTA,0,auto_bas_fy2526
2025-09-06,False,116.15,Pet Insurance,Q1 FY25-26,G3,False,0,PET INSURANCE CHATSWOOD CHATSWOOD,0,auto_bas_fy2526
2025-09-06,False,20.99,,Q1 FY25-26,G14,False,0,DISNEY+ DISNEY+,0,classified
